(base) s2018013343@5db24198c107:~/project/exp4_dl$ CUDA_VISIBLE_DEVICES=2 pyhon main.py --batch_size 2 --data_root MICCAI_BraTS_2019_Data_Training/HGG_LGG/ --train_option OH
epoch:24/200, loss:0.0250, best epoch:23, best loss:0.0238, dice[ET:0.7521, TC:0.8016, WT:0.8529], best dice[ET:0.7400, TC:0.7720, WT:0.8610]
epoch:25/200, loss:0.0213, best epoch:25, best loss:0.0213, dice[ET:0.7664, TC:0.8034, WT:0.8721], best dice[ET:0.7664, TC:0.8034, WT:0.8721]
epoch:26/200, loss:0.0256, best epoch:25, best loss:0.0213, dice[ET:0.7167, TC:0.7643, WT:0.8224], best dice[ET:0.7664, TC:0.8034, WT:0.8721]
epoch:27/200, loss:0.0216, best epoch:25, best loss:0.0213, dice[ET:0.7471, TC:0.8009, WT:0.8676], best dice[ET:0.7664, TC:0.8034, WT:0.8721]
epoch:28/200, loss:0.0223, best epoch:25, best loss:0.0213, dice[ET:0.7491, TC:0.7389, WT:0.8755], best dice[ET:0.7664, TC:0.8034, WT:0.8721]
epoch:29/200, loss:0.0249, best epoch:25, best loss:0.0213, dice[ET:0.7148, TC:0.7587, WT:0.8247], best dice[ET:0.7664, TC:0.8034, WT:0.8721]
epoch:30/200, loss:0.0194, best epoch:30, best loss:0.0194, dice[ET:0.7498, TC:0.8108, WT:0.8792], best dice[ET:0.7498, TC:0.8108, WT:0.8792]
epoch:31/200, loss:0.0215, best epoch:30, best loss:0.0194, dice[ET:0.7382, TC:0.7571, WT:0.8784], best dice[ET:0.7498, TC:0.8108, WT:0.8792]
epoch:32/200, loss:0.0203, best epoch:30, best loss:0.0194, dice[ET:0.7685, TC:0.8199, WT:0.8664], best dice[ET:0.7498, TC:0.8108, WT:0.8792]
epoch:33/200, loss:0.0195, best epoch:30, best loss:0.0194, dice[ET:0.7537, TC:0.8048, WT:0.8717], best dice[ET:0.7498, TC:0.8108, WT:0.8792]
epoch:34/200, loss:0.0183, best epoch:34, best loss:0.0183, dice[ET:0.7504, TC:0.8230, WT:0.8735], best dice[ET:0.7504, TC:0.8230, WT:0.8735]
epoch:35/200, loss:0.0192, best epoch:34, best loss:0.0183, dice[ET:0.7769, TC:0.8026, WT:0.8759], best dice[ET:0.7504, TC:0.8230, WT:0.8735]
epoch:36/200, loss:0.0179, best epoch:36, best loss:0.0179, dice[ET:0.7684, TC:0.8124, WT:0.8806], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:37/200, loss:0.0197, best epoch:36, best loss:0.0179, dice[ET:0.7266, TC:0.8103, WT:0.8634], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:38/200, loss:0.0215, best epoch:36, best loss:0.0179, dice[ET:0.7447, TC:0.7434, WT:0.8725], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:39/200, loss:0.0188, best epoch:36, best loss:0.0179, dice[ET:0.7631, TC:0.8240, WT:0.8772], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:40/200, loss:0.0183, best epoch:36, best loss:0.0179, dice[ET:0.7437, TC:0.8302, WT:0.8726], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:41/200, loss:0.0188, best epoch:36, best loss:0.0179, dice[ET:0.7589, TC:0.7975, WT:0.8745], best dice[ET:0.7684, TC:0.8124, WT:0.8806]
epoch:42/200, loss:0.0175, best epoch:42, best loss:0.0175, dice[ET:0.7652, TC:0.8296, WT:0.8791], best dice[ET:0.7652, TC:0.8296, WT:0.8791]
epoch:43/200, loss:0.0196, best epoch:42, best loss:0.0175, dice[ET:0.7472, TC:0.8101, WT:0.8572], best dice[ET:0.7652, TC:0.8296, WT:0.8791]
epoch:44/200, loss:0.0191, best epoch:42, best loss:0.0175, dice[ET:0.7218, TC:0.8156, WT:0.8597], best dice[ET:0.7652, TC:0.8296, WT:0.8791]
epoch:45/200, loss:0.0179, best epoch:42, best loss:0.0175, dice[ET:0.7572, TC:0.8195, WT:0.8691], best dice[ET:0.7652, TC:0.8296, WT:0.8791]
epoch:46/200, loss:0.0171, best epoch:46, best loss:0.0171, dice[ET:0.7586, TC:0.7916, WT:0.8790], best dice[ET:0.7586, TC:0.7916, WT:0.8790]
epoch:47/200, loss:0.0175, best epoch:46, best loss:0.0171, dice[ET:0.7836, TC:0.8053, WT:0.8755], best dice[ET:0.7586, TC:0.7916, WT:0.8790]
epoch:48/200, loss:0.0188, best epoch:46, best loss:0.0171, dice[ET:0.7789, TC:0.8038, WT:0.8754], best dice[ET:0.7586, TC:0.7916, WT:0.8790]
epoch:49/200, loss:0.0163, best epoch:49, best loss:0.0163, dice[ET:0.7815, TC:0.8417, WT:0.8835], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:50/200, loss:0.0172, best epoch:49, best loss:0.0163, dice[ET:0.7752, TC:0.8519, WT:0.8802], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:51/200, loss:0.0190, best epoch:49, best loss:0.0163, dice[ET:0.7112, TC:0.8026, WT:0.8796], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:52/200, loss:0.0195, best epoch:49, best loss:0.0163, dice[ET:0.7580, TC:0.8277, WT:0.8557], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:53/200, loss:0.0174, best epoch:49, best loss:0.0163, dice[ET:0.7461, TC:0.8150, WT:0.8668], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:54/200, loss:0.0185, best epoch:49, best loss:0.0163, dice[ET:0.7519, TC:0.8367, WT:0.8774], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:55/200, loss:0.0181, best epoch:49, best loss:0.0163, dice[ET:0.7786, TC:0.8356, WT:0.8804], best dice[ET:0.7815, TC:0.8417, WT:0.8835]
epoch:56/200, loss:0.0161, best epoch:56, best loss:0.0161, dice[ET:0.7794, TC:0.8369, WT:0.8844], best dice[ET:0.7794, TC:0.8369, WT:0.8844]
epoch:57/200, loss:0.0166, best epoch:56, best loss:0.0161, dice[ET:0.7569, TC:0.8295, WT:0.8816], best dice[ET:0.7794, TC:0.8369, WT:0.8844]
epoch:58/200, loss:0.0166, best epoch:56, best loss:0.0161, dice[ET:0.7819, TC:0.8381, WT:0.8730], best dice[ET:0.7794, TC:0.8369, WT:0.8844]
epoch:59/200, loss:0.0160, best epoch:59, best loss:0.0160, dice[ET:0.7822, TC:0.8317, WT:0.8812], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:60/200, loss:0.0198, best epoch:59, best loss:0.0160, dice[ET:0.7639, TC:0.8169, WT:0.8461], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:61/200, loss:0.0219, best epoch:59, best loss:0.0160, dice[ET:0.7399, TC:0.7343, WT:0.8503], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:62/200, loss:0.0182, best epoch:59, best loss:0.0160, dice[ET:0.7775, TC:0.8430, WT:0.8730], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:63/200, loss:0.0175, best epoch:59, best loss:0.0160, dice[ET:0.7794, TC:0.8194, WT:0.8790], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:64/200, loss:0.0165, best epoch:59, best loss:0.0160, dice[ET:0.7832, TC:0.8450, WT:0.8722], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:65/200, loss:0.0174, best epoch:59, best loss:0.0160, dice[ET:0.7949, TC:0.8564, WT:0.8672], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:66/200, loss:0.0166, best epoch:59, best loss:0.0160, dice[ET:0.7709, TC:0.8504, WT:0.8841], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:67/200, loss:0.0172, best epoch:59, best loss:0.0160, dice[ET:0.7589, TC:0.8247, WT:0.8841], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:68/200, loss:0.0191, best epoch:59, best loss:0.0160, dice[ET:0.7740, TC:0.7671, WT:0.8806], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:69/200, loss:0.0173, best epoch:59, best loss:0.0160, dice[ET:0.7892, TC:0.8375, WT:0.8690], best dice[ET:0.7822, TC:0.8317, WT:0.8812]
epoch:70/200, loss:0.0156, best epoch:70, best loss:0.0156, dice[ET:0.7893, TC:0.8519, WT:0.8897], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:71/200, loss:0.0173, best epoch:70, best loss:0.0156, dice[ET:0.7910, TC:0.8363, WT:0.8736], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:72/200, loss:0.0157, best epoch:70, best loss:0.0156, dice[ET:0.7815, TC:0.8486, WT:0.8841], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:73/200, loss:0.0185, best epoch:70, best loss:0.0156, dice[ET:0.7546, TC:0.7905, WT:0.8814], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:74/200, loss:0.0161, best epoch:70, best loss:0.0156, dice[ET:0.7917, TC:0.8543, WT:0.8889], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:75/200, loss:0.0157, best epoch:70, best loss:0.0156, dice[ET:0.7914, TC:0.8511, WT:0.8869], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:76/200, loss:0.0181, best epoch:70, best loss:0.0156, dice[ET:0.7792, TC:0.8382, WT:0.8595], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:77/200, loss:0.0162, best epoch:70, best loss:0.0156, dice[ET:0.7970, TC:0.8417, WT:0.8812], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:78/200, loss:0.0166, best epoch:70, best loss:0.0156, dice[ET:0.7862, TC:0.8400, WT:0.8744], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:79/200, loss:0.0157, best epoch:70, best loss:0.0156, dice[ET:0.7801, TC:0.8540, WT:0.8814], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:80/200, loss:0.0162, best epoch:70, best loss:0.0156, dice[ET:0.7802, TC:0.8497, WT:0.8849], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:81/200, loss:0.0163, best epoch:70, best loss:0.0156, dice[ET:0.7791, TC:0.8588, WT:0.8793], best dice[ET:0.7893, TC:0.8519, WT:0.8897]
epoch:82/200, loss:0.0155, best epoch:82, best loss:0.0155, dice[ET:0.7853, TC:0.8511, WT:0.8899], best dice[ET:0.7853, TC:0.8511, WT:0.8899]
epoch:83/200, loss:0.0164, best epoch:82, best loss:0.0155, dice[ET:0.7837, TC:0.8393, WT:0.8836], best dice[ET:0.7853, TC:0.8511, WT:0.8899]
